"product_id","store_id","region","stock_level","demand_level"
"P0016","S004","South","3848","4258.03"
"P0016","S001","West","3772","4182.17"
"P0016","S005","North","4046","4633.240000000001"
"P0016","S003","South","2483","2893.55"
"P0016","S001","North","2496","2899.8200000000006"
"P0016","S004","North","3344","3729.93"
"P0016","S004","East","3016","3403.4800000000005"
"P0016","S003","North","2448","2810.2200000000007"
"P0016","S005","West","2991","3296.1600000000003"
"P0016","S005","East","3220","3830.2000000000007"
"P0016","S004","West","4424","5025.020000000002"
"P0016","S005","South","1999","2253.2200000000003"
"P0016","S002","North","3966","4642.15"
"P0016","S002","West","2750","3105.48"
"P0016","S001","South","2803","3232.9399999999996"
"P0016","S001","East","3367","3862.1900000000005"
"P0016","S003","West","3905","4563.54"
"P0016","S002","South","3581","4144.829999999999"
"P0016","S002","East","3937","4501.14"
"P0016","S003","East","3770","4159.36"
"P0017","S001","West","2560","2834.6799999999994"
"P0017","S003","East","3279","3794.71"
"P0017","S001","South","2535","2867.08"
"P0017","S002","West","3579","4074.21"
"P0017","S001","North","3534","3995.83"
"P0017","S005","East","2256","2589.39"
"P0017","S004","West","2295","2538.9500000000003"
"P0017","S004","North","2142","2465.2400000000002"
"P0017","S004","East","3102","3512.04"
"P0017","S001","East","2650","3021.51"
"P0017","S002","South","2660","2918.0899999999992"
"P0017","S005","West","2548","3007.4300000000003"
"P0017","S003","North","3448","3833.7099999999996"
"P0017","S005","South","3499","4016.7599999999993"
"P0017","S002","North","3032","3377.8399999999992"
"P0017","S003","West","3068","3367.43"
"P0017","S004","South","2867","3343.91"
"P0017","S003","South","2699","3091.829999999999"
"P0017","S005","North","2912","3480.45"
"P0017","S002","East","2446","2813.8800000000006"
"P0031","S001","North","2710","3213.37"
"P0031","S003","South","2531","2822.24"
"P0031","S003","North","3042","3466.19"
"P0031","S004","West","1410","1624.0699999999997"
"P0031","S001","West","2356","2621.32"
"P0031","S005","East","2545","2832.9500000000003"
"P0031","S001","East","2853","3139.11"
"P0031","S002","South","2381","2758.42"
"P0031","S005","South","2519","2790"
"P0031","S003","East","1882","2140.85"
"P0031","S003","West","1988","2274.33"
"P0031","S002","North","2682","3079.34"
"P0031","S004","South","1874","2142.93"
"P0031","S005","North","2436","2767.7900000000004"
"P0031","S002","West","1802","2021.13"
"P0031","S001","South","1912","2196.48"
"P0031","S004","North","2269","2602.14"
"P0031","S004","East","2764","3166.76"
"P0031","S002","East","1622","1826.98"
"P0031","S005","West","2622","3105.140000000001"
"P0046","S004","West","2597","2943.15"
"P0046","S005","West","3590","3959.7199999999993"
"P0046","S001","West","3089","3526.1099999999997"
"P0046","S003","South","3677","4219.8"
"P0046","S001","South","3593","4192.0199999999995"
"P0046","S005","North","3729","4241.33"
